Flagged Transactions: [Withdrawal of more than $75.00 or Deposit of more than $350.00]
Actions              Agent                Flagged Value		 Timestamp  
Withdraw             Agent WT1            $92.00    		 2022-06-02 06:19:49 PM EDT 
Withdraw             Agent WT9            $85.00    		 2022-06-02 06:19:49 PM EDT 
Withdraw             Agent WT9            $93.00    		 2022-06-02 06:19:49 PM EDT 
Withdraw             Agent WT4            $97.00    		 2022-06-02 06:19:49 PM EDT 
Deposit              Agent DT2            $465.00   		 2022-06-02 06:19:49 PM EDT 
Withdraw             Agent WT7            $78.00    		 2022-06-02 06:19:49 PM EDT 
Withdraw             Agent WT6            $88.00    		 2022-06-02 06:19:49 PM EDT 
Deposit              Agent DT5            $480.00   		 2022-06-02 06:19:49 PM EDT 
Withdraw             Agent WT8            $95.00    		 2022-06-02 06:19:49 PM EDT 
Withdraw             Agent WT5            $94.00    		 2022-06-02 06:19:49 PM EDT 
Deposit              Agent DT4            $418.00   		 2022-06-02 06:19:49 PM EDT 
Withdraw             Agent WT1            $86.00    		 2022-06-02 06:19:49 PM EDT 
Withdraw             Agent WT4            $95.00    		 2022-06-02 06:19:49 PM EDT 
Deposit              Agent DT2            $397.00   		 2022-06-02 06:19:49 PM EDT 
Withdraw             Agent WT4            $79.00    		 2022-06-02 06:19:49 PM EDT 
Withdraw             Agent WT3            $78.00    		 2022-06-02 06:19:49 PM EDT 
Withdraw             Agent WT4            $82.00    		 2022-06-02 06:19:49 PM EDT 
Withdraw             Agent WT5            $84.00    		 2022-06-02 06:19:49 PM EDT 
Deposit              Agent DT1            $470.00   		 2022-06-02 06:19:49 PM EDT 
Withdraw             Agent WT3            $81.00    		 2022-06-02 06:19:49 PM EDT 
Withdraw             Agent WT8            $87.00    		 2022-06-02 06:19:49 PM EDT 
Withdraw             Agent WT9            $77.00    		 2022-06-02 06:19:49 PM EDT 
Withdraw             Agent WT8            $96.00    		 2022-06-02 06:19:49 PM EDT 
Withdraw             Agent WT8            $96.00    		 2022-06-02 06:19:49 PM EDT 
Deposit              Agent DT4            $455.00   		 2022-06-02 06:19:49 PM EDT 
Withdraw             Agent WT2            $87.00    		 2022-06-02 06:19:49 PM EDT 
Withdraw             Agent WT8            $87.00    		 2022-06-02 06:19:49 PM EDT 
Withdraw             Agent WT6            $90.00    		 2022-06-02 06:19:49 PM EDT 
Withdraw             Agent WT8            $96.00    		 2022-06-02 06:19:49 PM EDT 
Withdraw             Agent WT4            $88.00    		 2022-06-02 06:19:49 PM EDT 
Withdraw             Agent WT6            $77.00    		 2022-06-02 06:19:49 PM EDT 
Withdraw             Agent WT10           $84.00    		 2022-06-02 06:19:49 PM EDT 
Deposit              Agent DT2            $456.00   		 2022-06-02 06:19:49 PM EDT 
Withdraw             Agent WT10           $98.00    		 2022-06-02 06:19:49 PM EDT 
Withdraw             Agent WT3            $82.00    		 2022-06-02 06:19:49 PM EDT 
Deposit              Agent DT3            $493.00   		 2022-06-02 06:19:49 PM EDT 
Withdraw             Agent WT9            $99.00    		 2022-06-02 06:19:50 PM EDT 
Deposit              Agent DT3            $396.00   		 2022-06-02 06:19:50 PM EDT 
Withdraw             Agent WT6            $82.00    		 2022-06-02 06:19:50 PM EDT 
Withdraw             Agent 
